epoch,train_loss,valid_loss,error_rate
epoch,train_loss,valid_loss,error_rate
1,0.8571650981903076,0.7658251523971558,0.2551020383834839
2,0.8047195672988892,0.8299896121025085,0.30102041363716125
3,0.6391152739524841,0.7657890915870667,0.23979592323303223
4,0.5671426057815552,0.6814776062965393,0.2602040767669678
5,0.5612298250198364,0.740421712398529,0.2602040767669678
6,0.5648171901702881,0.7242987751960754,0.23469388484954834
7,0.4899061620235443,0.7295478582382202,0.2806122303009033
8,0.49490320682525635,0.8240665793418884,0.22959183156490326
9,0.47082385420799255,0.6103261113166809,0.19897958636283875
10,0.5209462642669678,0.5681179165840149,0.21938775479793549
11,0.41988882422447205,0.5670289397239685,0.21938775479793549
12,0.42091143131256104,0.6252375841140747,0.2142857164144516
13,0.383084237575531,0.6494148969650269,0.23469388484954834
14,0.39438891410827637,0.6301806569099426,0.19387754797935486
15,0.415875643491745,0.5726118087768555,0.22448979318141937
16,0.3978855311870575,0.5586300492286682,0.22448979318141937
17,0.3895633816719055,0.4960808753967285,0.19387754797935486
18,0.36183446645736694,0.5535122752189636,0.22448979318141937
19,0.3610900342464447,0.4713907539844513,0.19387754797935486
20,0.34309637546539307,0.5980088114738464,0.2142857164144516
21,0.29899752140045166,0.5783026218414307,0.20408163964748383
22,0.3218013048171997,0.5794426798820496,0.20408163964748383
23,0.3134796619415283,0.5210810303688049,0.2142857164144516
24,0.2833825349807739,0.49815839529037476,0.19387754797935486
25,0.3044086992740631,0.5044851303100586,0.2091836780309677
26,0.27700382471084595,0.5055606961250305,0.16836734116077423
27,0.27192428708076477,0.5315808653831482,0.1734693944454193
28,0.23086264729499817,0.4933074116706848,0.1428571492433548
29,0.2635047435760498,0.6224048733711243,0.19897958636283875
30,0.2575930953025818,0.5575641393661499,0.19897958636283875
31,0.2593443691730499,0.497772216796875,0.14795918762683868
32,0.2076321393251419,0.5900295972824097,0.19897958636283875
33,0.20556554198265076,0.593727707862854,0.19897958636283875
34,0.15271763503551483,0.6002423167228699,0.15306122601032257
35,0.14876839518547058,0.5714083909988403,0.15306122601032257
36,0.15488749742507935,0.479453444480896,0.13265305757522583
37,0.17060132324695587,0.5072404742240906,0.15306122601032257
38,0.15106098353862762,0.5213279128074646,0.15816326439380646
39,0.16621392965316772,0.5486131310462952,0.16836734116077423
40,0.14592312276363373,0.572685956954956,0.1734693944454193
41,0.12960973381996155,0.5567675828933716,0.16836734116077423
42,0.10197209566831589,0.6177353262901306,0.16326530277729034
43,0.13892513513565063,0.5567924976348877,0.15306122601032257
44,0.19078329205513,0.5757330656051636,0.1785714328289032
45,0.13272245228290558,0.5405187010765076,0.18877550959587097
46,0.10629440099000931,0.5302169322967529,0.19897958636283875
47,0.15408696234226227,0.5754798650741577,0.15306122601032257
48,0.09158366173505783,0.516011118888855,0.15306122601032257
49,0.1363445520401001,0.5731396675109863,0.1734693944454193
epoch,train_loss,valid_loss,error_rate
epoch,train_loss,valid_loss,error_rate
epoch,train_loss,valid_loss,error_rate
