epoch,train_loss,valid_loss,error_rate,train_error_rate_est
epoch,,,,
1,0.8571650981903076,0.7658251523971558,0.2551020383834839,0.28552805179494484
2,0.8047195672988892,0.8299896121025085,0.3010204136371612,0.29185548045185816
3,0.6391152739524841,0.7657890915870667,0.2397959232330322,0.2001298253702581
4,0.5671426057815552,0.6814776062965393,0.2602040767669678,0.21654830146889203
5,0.5612298250198364,0.740421712398529,0.2602040767669678,0.19723123461670047
6,0.5648171901702881,0.7242987751960754,0.2346938848495483,0.18301720937604216
7,0.4899061620235443,0.7295478582382202,0.2806122303009033,0.1884367957649367
8,0.4949032068252563,0.8240665793418884,0.2295918315649032,0.13788416682678462
9,0.4708238542079925,0.6103261113166809,0.1989795863628387,0.15349881649001523
10,0.5209462642669678,0.5681179165840149,0.2193877547979354,0.20117167220337184
11,0.419888824224472,0.5670289397239685,0.2193877547979354,0.16245813918456334
12,0.420911431312561,0.6252375841140747,0.2142857164144516,0.14425765484595088
13,0.383084237575531,0.6494148969650269,0.2346938848495483,0.13844389520690423
14,0.3943889141082763,0.6301806569099426,0.1938775479793548,0.12133529453678568
15,0.415875643491745,0.5726118087768555,0.2244897931814193,0.16304210944597103
16,0.3978855311870575,0.5586300492286682,0.2244897931814193,0.15989336901835577
17,0.3895633816719055,0.4960808753967285,0.1938775479793548,0.15224854850671926
18,0.3618344664573669,0.5535122752189636,0.2244897931814193,0.14675039412412397
19,0.3610900342464447,0.4713907539844513,0.1938775479793548,0.14851214167385032
20,0.343096375465393,0.5980088114738464,0.2142857164144516,0.12294242359841681
21,0.2989975214004516,0.5783026218414307,0.2040816396474838,0.10551552442151875
22,0.3218013048171997,0.5794426798820496,0.2040816396474838,0.11333949018246686
23,0.3134796619415283,0.5210810303688049,0.2142857164144516,0.12891318245255767
24,0.2833825349807739,0.4981583952903747,0.1938775479793548,0.11028924041362582
25,0.3044086992740631,0.5044851303100586,0.2091836780309677,0.1262224147213912
26,0.2770038247108459,0.5055606961250305,0.1683673411607742,0.09225083717029323
27,0.2719242870807647,0.5315808653831482,0.1734693944454193,0.0887363418939157
28,0.2308626472949981,0.4933074116706848,0.1428571492433548,0.06685563378754605
29,0.2635047435760498,0.6224048733711243,0.1989795863628387,0.08424108988321555
30,0.2575930953025818,0.5575641393661499,0.1989795863628387,0.0919280203556484
31,0.2593443691730499,0.497772216796875,0.1479591876268386,0.07708823611201655
32,0.2076321393251419,0.5900295972824097,0.1989795863628387,0.07002116061437741
33,0.2055655419826507,0.593727707862854,0.1989795863628387,0.06889243330312775
34,0.1527176350355148,0.6002423167228699,0.1530612260103225,0.038942853245592
35,0.1487683951854705,0.5714083909988403,0.1530612260103225,0.03985008501340416
36,0.1548874974250793,0.479453444480896,0.1326530575752258,0.04285358745489283
37,0.1706013232469558,0.5072404742240906,0.1530612260103225,0.05147942449802681
38,0.1510609835386276,0.5213279128074646,0.1581632643938064,0.04582969315865546
39,0.1662139296531677,0.5486131310462952,0.1683673411607742,0.05101044035569442
40,0.1459231227636337,0.572685956954956,0.1734693944454193,0.044200831946335124
41,0.1296097338199615,0.5567675828933716,0.1683673411607742,0.03919417534767251
42,0.1019720956683158,0.6177353262901306,0.1632653027772903,0.026950870972697324
43,0.1389251351356506,0.5567924976348877,0.1530612260103225,0.03819026225719037
44,0.19078329205513,0.5757330656051636,0.1785714328289032,0.059174030218830144
45,0.1327224522829055,0.5405187010765076,0.1887755095958709,0.0463531576513812
46,0.1062944009900093,0.5302169322967529,0.1989795863628387,0.039890117899592556
47,0.1540869623422622,0.5754798650741577,0.1530612260103225,0.04098273597334959
48,0.0915836617350578,0.516011118888855,0.1530612260103225,0.027165902118287417
49,0.1363445520401001,0.5731396675109863,0.1734693944454193,0.04126674215561036
epoch,,,,
epoch,,,,
epoch,,,,
